_id,SEGMENT_ID,INSTALLED,UPGRADED,PRE_AMALGAMATION,STREET_NAME,FROM_STREET,TO_STREET,ROADCLASS,CNPCLASS,SURFACE,OWNER,DIR_LOWORDER,INFRA_LOWORDER,INFRA_HIGHORDER,CONVERTED,geometry
1,11,2001,2015, ,Humber Valley Rd,Humber River Recreational Trl,Riverwood Pkwy, , , , , ,Multi-Use Trail,Multi-Use Trail, ,"{""coordinates"": [[[-79.4902154040147, 43.6400948267577], [-79.4902359142598, 43.6402253484846], [-79.4902541068244, 43.6403558691071], [-79.4902657253749, 43.6404098774596], [-79.490284308725, 43.640477388468], [-79.490314122695, 43.6405223960823], [-79.4903536166383, 43.6405764067827]]], ""type"": ""MultiLineString""}"
2,12,2001,2015, ,Spring Rd,Spring Rd,Parkside Dr, , , , , ,Park Road,Park Road, ,"{""coordinates"": [[[-79.4546544559455, 43.6409863113874], [-79.4556345861728, 43.6408266181954]]], ""type"": ""MultiLineString""}"
3,14,2001,2015, ,Stephen Dr,Riverwood Pkwy,Berry Rd, , , , , ,Sharrows - Wayfinding,Sharrows - Wayfinding, ,"{""coordinates"": [[[-79.4872347078761, 43.6375156951291], [-79.4873392561663, 43.6376597252595], [-79.4881193320713, 43.6395635684375]]], ""type"": ""MultiLineString""}"
4,15,2001,2015, ,Colborne Lodge Dr,Bloor St W,High Park Trl, , , , , ,Sharrows,Sharrows, ,"{""coordinates"": [[[-79.4651705482604, 43.6534124191752], [-79.4652978557667, 43.6535378296836]]], ""type"": ""MultiLineString""}"
5,16,2001,2015, ,Riverwood Pkwy,Humber Valley Rd,Stephen Dr, , , , , ,Sharrows - Wayfinding,Sharrows - Wayfinding, ,"{""coordinates"": [[[-79.4881193320713, 43.6395635684375], [-79.4884888413444, 43.6395456016852], [-79.4886143446206, 43.6395411126645], [-79.4887557122063, 43.6395321333797], [-79.4888509852866, 43.6395231314311], [-79.4889861506936, 43.6395276434224], [-79.4890845174215, 43.6395456538138], [-79.4891995529638, 43.6395726679751], [-79.4893048954424, 43.639604180903], [-79.4893552496493, 43.6396266881486], [-79.4895047354776, 43.6396897098178], [-79.4896685577396, 43.6397842365106], [-79.4897316870001, 43.6398292571899], [-79.4898679982106, 43.6399012794758], [-79.4902154040147, 43.6400948267577]]], ""type"": ""MultiLineString""}"
6,17,2001,2015, ,Lake Shore Blvd W,Humber Bay Park Rd W,Humber Bay Park East Trl, , , , , , ,Bike Lane, ,"{""coordinates"": [[[-79.4813490994173, 43.6227902542734], [-79.4819720578501, 43.6219832269785], [-79.4820289886063, 43.6219112246922], [-79.482227336824, 43.621569204951], [-79.4824783504382, 43.6212046885105], [-79.4825740243781, 43.6210921855404], [-79.4827494723363, 43.6209256870067]]], ""type"": ""MultiLineString""}"
7,18,2001,2015, ,Lake Shore Blvd W,37 M E Fleeceline Rd,Humber Bay Park Rd W, , , , , ,Bike Lane,Bike Lane, ,"{""coordinates"": [[[-79.4827494723363, 43.6209256870067], [-79.4829303451444, 43.6207546856045], [-79.4830779099447, 43.6206376865354], [-79.4831828510129, 43.6205611891496], [-79.4832343667602, 43.6205251901822], [-79.4832676635466, 43.6205116929477], [-79.4834318574922, 43.6204217099771], [-79.4838380641956, 43.62026423087], [-79.4838833657573, 43.6202552358565], [-79.4839332398532, 43.620239687542], [-79.4839987654731, 43.6202192545325], [-79.4841586823772, 43.6201877700721], [-79.4842620732197, 43.6201607711236], [-79.4851264578448, 43.6199502862798]]], ""type"": ""MultiLineString""}"
8,20,2001,2015, ,Catherine St,5.4 M W Humber River Recreational Trl,Humber River Recreational Trl, , , , , ,Sharrows - Wayfinding,Sharrows - Wayfinding, ,"{""coordinates"": [[[-79.4902220233062, 43.6516072562455], [-79.4905004935808, 43.651609403146], [-79.4907811154183, 43.6515745710571], [-79.4908513306331, 43.6515679597987]]], ""type"": ""MultiLineString""}"
9,21,2001,2015, ,Catherine St,Humber River Recreational Trl,40.8 M W Humber River, , , , , ,Sharrows - Wayfinding,Sharrows - Wayfinding, ,"{""coordinates"": [[[-79.4918251119977, 43.6512880894976], [-79.4921468372924, 43.6511912403163], [-79.4922406160376, 43.6511715049374], [-79.4923316179519, 43.6511607805568], [-79.4923474473481, 43.651160493574]]], ""type"": ""MultiLineString""}"
10,23,2001,2015, ,East Highland Creek Trl / Finch Corridor Trl,Finch Corridor Trl Branch,Brimwood Blvd, , , , , ,Multi-Use Trail,Multi-Use Trail, ,"{""coordinates"": [[[-79.2778676294223, 43.8119381747454], [-79.2781247339568, 43.8121045788943], [-79.2781846261778, 43.8121409146881], [-79.2782180642807, 43.8121710693671], [-79.2782275954586, 43.8121959579088], [-79.2784986356304, 43.812790623777], [-79.2785843667879, 43.8129206037859], [-79.2786830688707, 43.8130247477823], [-79.2787732662336, 43.8131057514006], [-79.2789031559688, 43.8131823473921], [-79.2790046438632, 43.813228050547], [-79.2795885926261, 43.813444356732], [-79.2796776695048, 43.813476980155], [-79.2800608585429, 43.8136135385211], [-79.2801400662451, 43.8136370280758], [-79.2801702116873, 43.813670695272], [-79.2804137136741, 43.814192674506], [-79.280451028503, 43.8143205699063], [-79.2805156904653, 43.8145343261903], [-79.2806112082062, 43.8149822701358], [-79.2806334424907, 43.8150903169914], [-79.2806695242547, 43.8153570446654]]], ""type"": ""MultiLineString""}"
