location_name,MAIN_STREET,SIDE1_STREET,CONTROL_MODE,Recommended Control Mode,K,dominant,vehicle_ped_overlap,main_side_temporal_corr,K_pct,dominant_pct,vehicle_ped_overlap_pct,main_side_temporal_corr_pct
DVP S Wynford Dr Ramp / Wynford Dr,WYNFORD DR,DVP S WYNFORD DR RAMP,SA2,FT/SA1,0.1998947788164235,0.5535714285714286,-0.122586872,0.6030039958974054,0.011111111111111112,0.014285714285714285,0.036741214057507986,0.44992050874403816
Fairview Mall / Fairview Mall Dr / Hwy 404 S Fairview Mall Ramp / Hwy 404 S Ramp,FAIRVIEW MALL DR,FAIRVIEW MALL 404 S RAMP,SA2,FT/SA1,0.16732190496237123,0.40625,,0.7681981272685002,0.00952381,0.00952381,,0.7281399046104928
Kipling Ave / Belfield Rd,KIPLING AVE,BELFIELD RD,SA2,FT/SA1,0.1660774066459271,0.39285714285714285,0.4425322397894219,0.5963562251473532,0.007936508,0.007936508,0.5830670926517572,0.4356120826709062
Gardiner Expy E Park Lawn Rd Ramp / Mimico Creek Trl / Park Lawn Rd,PARK LAWN RD,GARDINER E PARK LAWN RD RAMP,SA2,FT/SA1,0.11472001906595289,0.053571429,0.5921925330644073,0.9033930910067562,0.006349206,0.002380952,0.7779552715654952,0.9666136724960255
Lonsdale Rd / Avenue Rd,AVENUE RD,LONSDALE RD,SA2,FT/SA1,0.108004138,0.3392857142857143,0.4671525359707723,0.1454377499316967,0.004761905,0.006349206,0.6198083067092651,0.073131955
Finch Ave E / Middlefield Rd,FINCH AVE E,MIDDLEFIELD RD,SA2,FT/SA1,0.094468773,0.053571429,0.6649881968915778,0.8331553672595587,0.003174603,0.002380952,0.8674121405750799,0.8728139904610492
Wintermute Blvd / Bamburgh Crcl,BAMBURGH CRCL,WINTERMUTE BLVD,SA2,FT/SA1,0.021567319,0.0625,0.398855095,0.6282854547603756,0.001587302,0.004761905,0.5191693290734825,0.492845787
Bloor St W / Shaw St,BLOOR ST W,SHAW ST,FT,SAP,0.7603938717667729,1,0.8477064012501331,0.715724257,0.9666666666666667,0.75,0.9,0.5166666666666667
Lake Shore Blvd W / Long Branch Ave,LAKE SHORE BLVD W,LONG BRANCH AVE,FT,SA2,0.7437606972932753,1,-0.160132329,0.49156987847420125,0.9333333333333333,0.75,0.016666666666666666,0.13333333333333333
King St E / Jarvis St,KING ST E,JARVIS ST,FT,SA2,0.6859681461229591,1,-0.121939709,-0.525133066,0.8666666666666667,0.75,0.033333333,0.016666666666666666
Eglinton Ave W / Hwy 27 / Hwy 401 / Hwy 427 Eglinton E Ramp,EGLINTON AVE W,27 401 427 EGLINTON E RAMP,SA1,SA2,0.7784161856549648,1,-0.086554594,0.7701520973141783,0.9924812030075187,0.7631578947368421,0.052631579,0.42857142857142855
Sorauren Ave / Dundas St W,DUNDAS ST W,SORAUREN AVE,SA1,SA2,0.7529117900264116,1,-0.086919216,0.43491658171053127,0.9774436090225563,0.7631578947368421,0.045112781954887216,0.15037593984962405
Yonge St / Roxborough St W,YONGE ST,ROXBOROUGH ST W,SA1,SAP,0.7464111398748327,1,0.7579140701604564,0.7977383039765693,0.9699248120300752,0.7631578947368421,0.7218045112781954,0.48872180451127817
Keele St / Canarctic Dr,KEELE ST,CANARCTIC DR,SA1,SA2,0.7303252715020633,1,-0.056109745,0.6176336328592616,0.9624060150375939,0.7631578947368421,0.060150376,0.2932330827067669
Bloor St E / Ted Rogers Way,BLOOR ST E,TED ROGERS WAY,SA1,SAP,0.6993404510087384,1,0.8228446737069025,0.6122107934062735,0.9548872180451128,0.7631578947368421,0.8571428571428571,0.2781954887218045
Pharmacy Ave / Gatineau Hydro Corridor Trl,PHARMACY AVE,RANNOCK ST,SAP,FT/SA1,0.9999604054482104,1,-0.013475117,0.1405812212659767,1,0.547945205,0.054794521,0.095890411
College St / Borden St,COLLEGE ST,BORDEN ST,SAP,SA2,0.9921097524886864,1,-0.04579626,-0.083296538,0.9931506849315068,0.547945205,0.02739726,0.04109589
Danforth Ave / Glebemount Ave,DANFORTH AVE,GLEBEMOUNT AVE,SAP,SA2,0.9157315161864733,1,-0.028184943,0.36988103247960397,0.9041095890410958,0.547945205,0.034246575,0.1917808219178082
Gardiner Expy Express W Sherway Gardens Ramp / Sherway Gardens Rd,SHERWAY GARDENS RD,GARDINER X W SHERWAY GARDENS RAMP,SAP,SA2,0.037732638943338156,0.10714285714285714,0.1912275625858643,0.8883560100962742,0.01369863,0.01369863,0.13013698630136986,0.9452054794520548
